축제명,축제 소개,축제 기간,축제 지역,요금,개최자,사진
9.81파크; X리그 2021 정규시즌,"애월읍 평화로 인근에 위치한 9.81파크는 새로운 놀이, 무동력레이싱(Gravity Racing)을 비롯한 다양한 액티비티와 이벤트를 즐길 수 있는 종합유원시설로, 올해 3회째를 맞는 GROC 2021은 아홉번의 정규 ROUND를 통해 ‘X리그 top10’에 랭크된 진출자를 선발하여 진행되는 챔피언십 경기이다.",2021.11.25 ~ 2022.01.15,제주,7000,제주시,13.jpg
휴애리 매화축제,매화 꽃 향기와 함께 봄의 시작을 알리는 제주 대표 봄 축제,2021.11.12 ~ 2022.01.31,제주,3000,서귀포시,14.jpg
우도소라축제,"우도 특산물인 뿔소라를 주제로 다양한 시식 및 체험 행사를 진행, 마음까지 풍성한 축제",2021.11.26 ~ 2022.01.31,제주,5000,제주시,15.jpg
제주들불축제(2021년 비대면 개최),"가축 방목을 위해 중산간초지의 해묵은 풀을 없애기 위해 늦겨울에서 초 봄 사이 목야지 들판에 불을 놓았던 제주의 옛 목축문화의 ""방애""의 재현",2021.09.05 ~ 2022.03.06,제주,7000,서귀포시,16.jpg
탐라문화콘서트 - 놀젠놀장,"인기 뮤지션 공연과 플리마켓, 관객들과 함께하는 라디오 공개방송, 매주 토요일 밤엔 탐라문화광장에서 놀자!",2021.11.25 ~ 2022.01.15,제주,3000,제주시,17.jpg
휴애리 핑크뮬리축제,제주에서 만나는 핑크빛 물결 휴애리 핑크뮬리축제,2021.11.12 ~ 2022.01.31,제주,5000,서귀포시,18.jpg
휴애리 유럽수국축제,■ 일정 : 2021. 4. 1(목) ~ 9. 12(일) ■ 개최장소 : 제주도 서귀포시 남원읍 신례동로 256(휴애리 자연생활공원) ■ 주최 : 휴애리 자연생활공원 ■ 문의 : 064)732-2114,2021.11.26 ~ 2022.01.31,제주,7000,제주시,19.jpg
세상에 이런(E-RUN) 트립,"‘제로를 외쳐봐, 세상에 E-RUN 트립’ 제로탄소! 제로플라스틱! 제로일회용품! 쓰레기 없는 여행을 떠나요!",2021.09.05 ~ 2022.03.06,제주,3000,서귀포시,20.jpg
제주허브동산 핑크뮬리축제,제주허브동산 핑크뮬리 축제,2021.11.25 ~ 2022.01.15,제주,5000,제주시,21.jpg
방선문축제,신선이 머무는 곳,2021.11.12 ~ 2022.01.31,제주,7000,서귀포시,22.jpg
예래생태체험축제,생태의 보고 예래에서 즐기는 친환경적인 축제.,2021.11.26 ~ 2022.01.31,제주,3000,제주시,23.jpg
제주국제크루즈포럼[전면 취소],"“포스트 코로나, 아시아 크루즈산업의 대전환” 전세계 크루즈 산업 관계 기관 및 업체 관계자 1,600여명",2021.09.05 ~ 2022.03.06,제주,5000,서귀포시,24.jpg
제주 허브동산 꽃잔디 축제,"표선면 제주허브동산에서 열리는 꽃잔디 축제로, 4월 한 달 동안 허브동산 전체를 진분홍색으로 물들인 꽃잔디를 만날 수 있다.",2021.11.25 ~ 2022.01.15,제주,7000,제주시,25.jpg
제주 오라 청보리 & 유채꽃 축제,청보리의 푸르름과 노란 유채꽃을 한눈에 감상할 수 있는 축제.,2021.11.12 ~ 2022.01.31,제주,3000,서귀포시,26.jpg
마노르블랑 핑크뮬리축제,마노르블랑 핑크뮬리축제,2021.11.26 ~ 2022.01.31,제주,5000,제주시,27.jpg
표선해변 하얀모래축제,제주에서 가장 넓은 하얀모래사장에서 펼쳐지는 여름날 축제,2021.09.05 ~ 2022.03.06,제주,7000,서귀포시,28.jpg
마노르블랑 수국축제,"""수국축제의 향연, 전세계 30여종 7천여본 수국들을 만나다 "" 서귀포시에 위치한 가든 카페 마노르블랑에서 세번째 수국축제를 개최한다. 우리나라에서 가장 빨리 노지수국이 개화하는 이 곳에는 사랑과 정성으로 가꾸어진 제주 수국을 비롯하여 전세계 30여종 7천여본 수국을 만날 수 있다. 산방산과 송악산 사이로 형제섬과 사계앞바다가 보이는 환상적인 조망과 함께 수국 인생샷을 남길 수 있는 곳은 바로 이곳뿐. 그 밖에도 다양한 산책로와 포토존이 준비되어 있고 야외 잔디정원에서는 피아노 연주 버스킹을 즐길 수 있다.",2021.11.25 ~ 2022.01.15,제주,3000,제주시,29.jpg
설문대할망 페스티벌(제주돌문화공원),"창조성과 자조성, 모성애의 화신이 된 위대한 설문대할망을 기리는 행사",2021.11.12 ~ 2022.01.31,제주,5000,서귀포시,30.jpg
청초밭 동백꽃 축제,"* 장소 : 서귀포시 표선면 성읍이리로 57번길 34 청초밭영농조합법인 * 기간 : 2020. 11. 14. ~ 2021. 3. 31. (개화시기와 꽃이 지는 시기에 따라 변경될수 있음) * 운영시간 : 10시 ~ 18시 (입장마감 17시) * 입장료 : 성인 5,000원 / 도민 3,000원 / 초등학생 3,000원 / 장애인, 국가유공자 40% 할인 * 문의 : 064-787-7811",2021.11.26 ~ 2022.01.31,제주,7000,제주시,31.jpg
"산지에 색을 입히다, 컬러풀산지",코로나19 장기화로 침체된 탐라문화광장 일대를 환하게 밝혀 활력을 불어넣기 위한 비대면 경관조성 사업,2021.09.05 ~ 2022.03.06,제주,3000,서귀포시,32.jpg
제주MBC 국제평화마라톤,평화와 희망! 세계로 달린다,2021.11.25 ~ 2022.01.15,제주,5000,제주시,33.jpg
사려니숲 에코힐링 체험,1년에 딱 한 번 입산이 허용되는 물찻오름을 만나러 가는 길,2021.11.12 ~ 2022.01.31,제주,7000,서귀포시,34.jpg
거문오름 국제트레킹,"거문오름을 예약없이 탐방하고, 용암길을 걸을 수 있는 일 년에 단 한 번뿐인 기회",2021.11.26 ~ 2022.01.31,제주,3000,제주시,35.jpg
에코파티,마을 주민들이 꾸리고 초대하는 생태관광 테마파티.,2021.09.05 ~ 2022.03.06,제주,5000,서귀포시,36.jpg
2020 제주식품대전,천혜의 자연환경을 자랑하는 청정 제주의 다채로운 식품과 새로운 식품 트렌드를 한 자리에서 만날 수 있는 행사,2021.11.25 ~ 2022.01.15,제주,7000,제주시,37.jpg
한라산 아래 놈삐꽃 필 무렵,"올해 제주에서 월동무를 재배한 농민들은 지난 1월에 닥친 한파와 가뭄으로 인해, 예년의 절반도 안 되는 수준으로 가격이 형성되어 수확을 포기하거나, 수확해도 수익을 건질 수 없는 상황이 되었다. 하례2리 주민들도 협동조합을 구성하고 무농사를 지었는데, 애써 재배한 무의 일부만 수확하고 대부분 포기한 상태였다. 그러나 날씨가 따뜻해지자 수확을 포기한 무에서 하얀 무꽃이 피어 언덕을 뒤덮었다. 누군가 한라산을 배경으로 찍은 무꽃 사진을 보고, 마을 분들이 축제를 기획했다. 축제의 제목은 ""한라산 아래 놈삐(무를 뜻하는 제주어)꽃 필 무렵""이다. 축제는 8일부터 16일까지 남원읍 하례리 1809번지에서 열린다. 포토존과 무밭을 가로지르는 산책로가 마련되고, 현장에서 농민들이 직접 생산한 무말랭이와 놈삐차를 구매할 수 있고, 놈삐전도 맛볼 수 있다. 문의 : 010-8662-2869",2021.11.12 ~ 2022.01.31,제주,3000,서귀포시,38.jpg
쇠소깍축제,서귀포 칠십리의 비경을 품은 효돈,2021.11.26 ~ 2022.01.31,제주,5000,제주시,39.jpg
제주해녀축제[취소],국내에서 유일한 여성 중심의 해양 축제,2021.09.05 ~ 2022.03.06,제주,7000,서귀포시,40.jpg
산짓물공원콘서트,"매주 토요일 저녁, 산짓물 공원 일대에서 자연과 문화예술이 함께하는 음악소풍! 다양한 장르의 음악과 함께 모든 세대가 함께 즐길 수 있는 콘서트가 열린다.",2021.11.25 ~ 2022.01.15,제주,3000,제주시,41.jpg
제주 메밀축제,메밀 생산량 1위인 제주에서 펼쳐지는 메밀축제.,2021.11.12 ~ 2022.01.31,제주,5000,서귀포시,42.jpg
한림공원 수선화축제,한림공원 수선화 정원에는 겨우내 피어난 50만 송이에 달하는 금잔옥대 수선화와 제주수선화 축제가 진행된다.,2021.11.26 ~ 2022.01.31,제주,7000,제주시,43.jpg
삼양검은모래축제,검은 모래가 반짝이는 여름 바다,2021.09.05 ~ 2022.03.06,제주,3000,서귀포시,44.jpg
제주허브동산 수국축제,축제 장소 : 제주특별자치도 서귀포시 표선면 돈오름로 170 제주허브동산 축제 일정 : 2021년 6월 1일 ~ 8월 31일 운영 시간 : 09:00 ~ 22:00 문의 전화 : (064)787-7362~3,2021.11.25 ~ 2022.01.15,제주,5000,제주시,45.jpg
한림공원 부겐빌레아축제,열대지방에서만 볼 수 있는 부겐빌레아 꽃을 제주에서 만나볼 수 있는 축제.,2021.11.12 ~ 2022.01.31,제주,7000,서귀포시,46.jpg
금능 원담축제,금능 해수욕장에서 펼쳐지는 맨손 고기잡기 체험,2021.11.26 ~ 2022.01.31,제주,3000,제주시,47.jpg
수월봉 트레일,지질트레일을 즐기며 새로운 지질자원과 풍경을 즐길 수 있는 행사.,2021.09.05 ~ 2022.03.06,제주,5000,서귀포시,48.jpg
상효원 튤립축제,봄을 가장 빨리 만나는 방법,2021.11.25 ~ 2022.01.15,제주,7000,제주시,49.jpg
2021 제주카페스타,"제주 유일의 전시인증 카페박람회! 원두부터 차, 디저트와 머신까지 카페에 관한 모든 것을 한 자리에서 만나볼 수 있다.",2021.11.12 ~ 2022.01.31,제주,3000,서귀포시,50.jpg
도두오래물축제,제주의 여름을 시원하게 해줄 도두 오래물 용천수,2021.11.26 ~ 2022.01.31,제주,5000,제주시,51.jpg
보목자리돔축제,보목자리돔축제,2021.09.05 ~ 2022.03.06,제주,7000,서귀포시,52.jpg
한림공원 튤립축제,튤립 꽃의 향연이 펼쳐지는 한림공원 튤립축제.,2021.11.25 ~ 2022.01.15,제주,3000,제주시,53.jpg
제주 오라 메밀꽃축제,"오라, 9월의 하얀 눈을 만나다",2021.11.12 ~ 2022.01.31,제주,5000,서귀포시,54.jpg
한림공원 꽃무릇 축제,가을의 대표적인 야생화인 꽃무릇 축제.,2021.11.26 ~ 2022.01.31,제주,7000,제주시,55.jpg
해녀마켓 시즌 2 - 해녀와 함께하는 온/오프라인 프리마켓,"5월부터 매주 토요일, 윤슬이 찬란하게 빛나는 법환 바다 앞 물질체험장에서 토요 문화장터 ""해녀마켓""이 열린다. 해녀마켓은 최근 수출 감소와 국내 소비 위축으로 어려움을 겪고 계신 해녀분들의 주 수입원인 뿔소라의 판로를 개척하기 위해 기획된 프리마켓이다. 매주 토요일 마켓에서는 해녀분들이 직접 참여하여 싱싱한 뿔소라를 판매하고, 유니크한 수공예품을 제작하는 금손 로컬 크리에이터분들이 셀러로 나올 예정이다. 포슬린 아트, 캔들, 라탄 공예 등의 원데이클래스와 버스킹 무대, 시민 참여형 프로젝트 ""Before I die...""까지 다채로운 이벤트가 함께 준비되어 있다. 이번 토요일에는 가족 & 친구와 함께 저녁 노을이 아름다운 법환 바다로 나들이를 떠나보자.",2021.09.05 ~ 2022.03.06,제주,3000,서귀포시,56.jpg
이호테우축제,제주시 도심에서 펼쳐지는 해수욕장 축제,2021.11.25 ~ 2022.01.15,제주,5000,제주시,57.jpg
한림공원 매화축제,새 봄! 봄의 전령사 매화를 만나보세요.,2021.11.12 ~ 2022.01.31,제주,7000,서귀포시,58.jpg
한라산청정고사리축제,생명이 움트는 청정 남원읍의 자연과 함께 즐기는 한라산청정 고사리 축제,2021.11.26 ~ 2022.01.31,제주,3000,제주시,59.jpg
가파도청보리축제,해마다 봄이 되면 청보리밭 위로 푸른 물결이 굽이치는 장관을 볼 수 있는 청보리 축제.,2021.09.05 ~ 2022.03.06,제주,5000,서귀포시,60.jpg
제주민속촌 수국축제 - 초가마을 도채비꽃 한마당,6월 5일부터 30일까지 제주민속촌 내 어촌일원에서 펼쳐지는 도채비꽃(수국)축제(*부대행사 - 6.13(토)~21(일)) 다양한 부대행사와 함께 SNS이벤트가 펼쳐진다.,2021.11.25 ~ 2022.01.15,제주,7000,제주시,61.jpg
스테핑스톤페스티벌,"STEPPING STONE FESTIVAL 다채로운 음악의 향연, 스테핑 스톤 페스티벌",2021.11.12 ~ 2022.01.31,제주,3000,서귀포시,62.jpg
서귀포 야해페스티벌,표선해수욕장에서 다양한 장르의 아티스트들의 공연이 펼쳐진다,2021.11.26 ~ 2022.01.31,제주,5000,제주시,63.jpg
서귀포겨울바다 국제펭귄수영대회,겨울바다수영으로 새해소망과 건강을 기원하다,2021.09.05 ~ 2022.03.06,제주,7000,서귀포시,64.jpg
탐라국입춘굿놀이,"입춘날 목관아 일대에서 제주목사, 관리, 무당들이 행하던 굿놀이로, 봄이 시작됨과 동시에 한해의 풍년을 기원하는 풍년제의 의미가 있음",2021.11.25 ~ 2022.01.15,제주,3000,제주시,65.jpg
제주 유채꽃 축제,제주의 멋진 풍경 속 유채꽃 속에 빠질 수 있는 축제의 장,2021.09.05 ~ 2022.03.06,제주,5000,서귀포시,66.jpg
성산일출축제,"성산일출봉에서 새해 첫 일출을 반기는 축제로, 성산일출봉의 일출은 영주10경 중 제1경으로 꼽힌다.",2021.11.25 ~ 2022.01.15,제주,7000,제주시,67.jpg
